fulltext,title,url,closingdate
"
Closing date for Expressions of Interest: 16:00 on 31 August 2020
Closing date for Full Applications: 16:00 on 12 October 2020
Up to £400,000 of funding has been allocated up to build upon the existing NERC-ESRC funded Unconventional Hydrocarbons in the UK Energy System (UKUH) programme. The Open Call will fund projects that maximise the legacy and impact of the UKUH Programme; advance the integration of socio-economic and geoscience research; provide opportunities to increase the Equality, Diversity and Inclusion (EDI) of the Programme and support Early Career Researchers (ECRs).
The ambitions of the Open Call will be delivered through:

Funding an overarching Socio-economic and Geoscience Nexus Project of up to £25,000;
Funding up to 3 Large inter-disciplinary projects each to a value of up to £70,000, for early career researchers;
Funding up to 8 Small projects each to the value of up to £20,000;
Allocating up to a total of £5,000, to fund up to 5 EDI Ambassadors responsible for promoting Equality, Diversity and Inclusion (EDI) and supporting Early Career Researchers (ECRs).

All details are found in the Announcement of Opportunity document at www.ukuh.org/opencall/ and we encourage applicants out with the existing UKUH Programme to apply for funding as well as those who have existing contracts already funded through the UKUH programme.
","
Announcement of Opportunity: NERC-ESRC funded Unconventional Hydrocarbons in the UK Energy System (UKUH) programme launches an Open Call


",https://esrc.ukri.org/funding/funding-opportunities/ao-ukuh-programme-open-call/,
"
Application deadline: 15 October 2020, 16:00
Call summary
UK Research and Innovation (UKRI) invites proposals for interdisciplinary research and innovation consortia under the second wave of the Strategic Priorities Fund (SPF) Clean Air Programme.
The aim of the second wave of SPF Clean Air Programme funding is to equip the UK to proactively tackle new and emerging air quality challenges related to changing emissions and exposure patterns and health impacts on groups of people most at risk.
With this in mind, the purpose of this call is to fund solution focussed, interdisciplinary consortia in the area of the indoor/outdoor air quality interface which will deliver new knowledge that:

provides critical foresight on emerging air pollution challenges and associated health risks and impacts; and
enable an increased understanding and quantification of human behavioural change and practices in order to develop and assess interventions, that limit harmful exposure to mitigate negative health impacts individuals most at risk.

Further information
For further information on background, scope and how to apply please visit the NERC website.
For further details on the SPF Clean Air Programme, please visit: UK Clean Air website.
For more details on the Strategic Priorities Fund, please visit: UKRI SPF website.
Contact
For further details on this funding call, please contact: atmospheric@nerc.ukri.org
","
Strategic Priorities Fund: Preparing for Future Clean Air Challenges – Interdisciplinary research and innovation consortia


",https://esrc.ukri.org/funding/funding-opportunities/strategic-priorities-fund-preparing-for-future-clean-air-challenges-interdisciplinary-research-and-innovation-consortia/,
"
The Economic and Social Research Council (ESRC), part of UK Research and Innovation (UKRI), is pleased to issue a pre-call announcement for the appointment of a Scientific Leadership and Delivery Team to develop and deliver an Early Life Cohort pilot study.
We intend to announce the full call for proposals in Autumn 2020. This notice is being issued now to allow potential applicants time for the early development of proposals, partnerships and collaborations in advance of the formal call for proposals.
Background
Since the 1940s, the UK has accumulated a globally leading set of rich birth cohort datasets that have enabled the understanding of many aspects of the lives of previous generations of children as they were growing up, and allowed researchers to relate experiences in childhood to experiences and outcomes in adulthood. These datasets provide a shared valuable research resource for scientists, practitioners, and policy makers from across the globe and continue to enable world leading research which has had considerable scientific and real-world impact.
Whilst these studies continue to provide scientifically valuable data, the existing UK studies cover cohorts of participants born up to the millennium. The lives of future generations of children growing up in the UK, shaped by factors including the aftermath of the COVID-19 pandemic, will look very different to those of past generations, meaning there is a pressing need for an innovative new early life cohort study.
The independent Longitudinal Studies Strategic Review (https://esrc.ukri.org/news-events-and-publications/publications/corporate-publications/longitudinal-studies-review-2017/) for ESRC recommended that ESRC commission a new birth cohort. The scoping of a new birth cohort was also identified as a priority in the ESRC Delivery Plan (https://www.ukri.org/files/about/dps/esrc-dp-2019/) and the UKRI Infrastructure Roadmap (https://www.ukri.org/research/infrastructure/).
Since publishing the Longitudinal Studies Strategic Review, the ESRC has carried out scoping work to inform a new birth cohort including commissioning reports on aspects of its possible design and methodology and discussions with relevant organisations about sampling options. The reports are available on the ESRC website (https://esrc.ukri.org/news-events-and-publications/publications/corporate-publications/innovation-and-development-in-longitudinal-studies-outputs-from-the-uk-population-lab-programme/).
This scoping work and strategic advice has demonstrated the value of a pilot study in informing the commissioning and design of the full early life cohort. In addition, this pilot study would directly gather new data for research and support innovation in design and data collection.
ESRC has convened an advisory group of independent experts, chaired by Professor Melinda Mills (University of Oxford) to provide advice to the ESRC on the specification, commissioning, oversight and evaluation of the pilot study.
Scope
The ESRC will commission a Scientific Leadership and Delivery Team to develop and deliver an Early Life Cohort pilot study. The successful bid will involve effective collaborations between the Scientific Leadership and Delivery team and partners including end-users.
The core purpose of the pilot study will be to:

Demonstrate the feasibility of a full early life cohort
Develop and test innovations in data collection or other methodological issues which can be employed in or inform the full study
Undertake substantive longitudinal data collection, to justify the public investment and participation in the work

It is intended that the pilot will be longitudinal, involving two or more rounds of data collection.
Further information regarding the scope of the call, including the funding available, will be released when the call launches in Autumn 2020.
Eligibility
Standard ESRC eligibility rules will apply for the upcoming call.
For further information please see ESRCs’ Research Funding Guide (https://esrc.ukri.org/funding/guidance-for-applicants/research-funding-guide/)
If in doubt of eligibility, please refer to the FAQs which can be downloaded from the ESRC website: (https://esrc.ukri.org/files/funding/funding-opportunities/faq-centres-competition-2020/) or contact the office.
Principal investigators
Principal investigators (PIs) on proposals to the call must be based at a UK institution eligible for Research Council funding; see the UKRI website for a list of eligible organisations (https://www.ukri.org/funding/how-to-apply/eligibility/).
It is likely that successful applications will be led by experienced researchers who are internationally recognised and have a well-established track record within their field, as well as proven ability to deliver a large-scale longitudinal study successfully.
Co-investigators and collaborators
Collaborative and consortium bids are encouraged for this call. The amount of time committed to the grant by the PI and co-investigators must be costed into the proposal. Standard ESRC research funding rules will apply for staff engaged in more than one ESRC grant (see ESRC Research Funding Guide, page 27: www.esrc.ukri.org/funding/guidance-for-applicants/research-funding-guide).
The inclusion of international co-investigators in proposals is welcome. However, please note that academic researchers (at PhD or equivalent status) must be from established overseas research organisations of comparable standing to ESRC-eligible UK research organisations to be listed as international co-investigators under this call.
International collaboration is not limited to co-investigators but may also involve partnerships to develop international datasets, promote knowledge exchange and international impact, and enhance development on an international scale. Further guidance on the inclusion of international co-investigators is available at https://esrc.ukri.org/funding/guidance-for-applicants/inclusion-of-international-co-investigators-on-proposals/.
We also welcome inter-institutional applications and strongly encourage partnerships with non-HEI organisations and the inclusion of third sector, business and public sector coinvestigators (see https://esrc.ukri.org/funding/guidance-for-applicants/inclusion-of-uk-business-third-sector-or-government-body-co-investigators-on-proposals/).
Register of interest and pre-call stakeholder engagement
This pre-call announcement includes a register of interest stage. It is not mandatory for potential applicants to submit a register of interest in order to submit a full proposal, however it is strongly encouraged.
The information provided in the register of interest stage will inform a series of stakeholder engagement activities in August and September 2020, ahead of the call launch in the autumn. All engagement activities will take place remotely and further information will be provided in due course.
Stakeholder groups that are encouraged to register their interest include, but are not limited to, potential applicants and interested organisations, such as fieldwork agencies.
To register your interest in the upcoming call, please submit the following information via the webform https://www.surveymonkey.co.uk/r/Earlylifecohort

Name
Institution/organisation
Contact details
Nature of interest
Details of potential partnerships/collaborations (optional at this stage)
Additional comments (optional)

Commissioning timetable
The commissioning process will follow the provisional timetable below. Proposals will be assessed by a specially constituted panel and shortlisted applicants will be invited to an interview in January 2021. Applicants will be notified of whether they have been shortlisted for interview following the Panel meeting in January 2021.

Register of interest (via the webform) – 31 July 2020
Pre-call engagement – August & September 2020
Call for proposals issued – 28 September 2020
Closing date for full proposals – 27 November 2020
Peer review and PI response – December 2020-January 2021
Panel meeting – January 2021
Interviews of shortlisted applicants – January 2021
Decision announced – February 2021
Award start – 1 April 2021
Pilot completion and assessment – January 2023

Please note that this timetable is provisional and is subject to minor change.

","
Pre-call Announcement for a Scientific Leadership and Delivery Team to deliver an Early Life Cohort pilot study


",https://esrc.ukri.org/funding/funding-opportunities/development-of-a-pilot-for-an-early-life-cohort-study/,
"
UK Research and Innovation (UKRI) and the State of São Paulo Research Foundation (FAPESP) have agreed a pioneering Memorandum of Understanding (MoU) to welcome, encourage and support applications that may cut across their national boundaries and involve international collaborative teams.
The UKRI-FAPESP Memorandum of Understanding (UKRI website) underpins a 'Lead Agency Agreement' whereby the relevant UK research council will receive and assess collaborative proposals from eligible institutions on behalf of both organisations. FAPESP-nominated experts will be involved with the peer review and decision-making processes throughout.
ESRC accepts applications under the terms of the MoU to our Research Grants scheme.
Collaborative research proposals may be submitted in any area of the social sciences within the remit of both the ESRC and FAPESP. There is no deadline, and proposals will be accepted on an ongoing basis until expiry of the MoU on 31 December 2020. 
Collaborative research proposals should be submitted to the ESRC and FAPESP, although the ESRC will take the lead role in processing and assessing applications with input from FAPESP. A decision on ESRC-FAPESP proposals will be made by the ESRC's Research Committee, within its normal standard grants competition. Those proposals approved for funding will be jointly supported by the ESRC and FAPESP.
Please note that the ESRC does not allow the resubmission of any previously unsuccessful proposals (including proposals previously submitted to another Research Council), unless applicants have been explicitly invited to do so. Please therefore ensure your proposal is of the highest quality possible upon first submission.
Applicants should note the following in preparing their application:
Eligibility

In order to receive support from FAPESP, the Brazilian partners must be based at an institution eligible for their support. These are higher education and research organisations, public or non-profit in the State of São Paulo.
Before submitting an application, the Brazilian principle investigator (PI) should contact FAPESP to confirm their eligibility. For eligible applicants, FAPESP will provide a letter confirming eligibility which should be attached to the joint funding application submitted to FAPESP (SAGe) and ESRC (Je-S).
UK applicants should comply with the eligibility requirements outlined for ESRC’s standard responsive mode.

Submission and Budget

Applications should first be submitted by the Brazilian PI to FAPESP via SAGe before the application is submitted to the ESRC via Je-S. This is so the SAGe application can be submitted as an attachment to the ESRC Je-S submission.
For UK-based applicants, the proposal should be submitted via Je-S to the Research Grants (Open Call). The costs being requested from ESRC for the UK part of the project should be a minimum of £350,000, and no more than £1,000,000 (at 100% Full Economic Cost). 
Please note that for FAPESP, the budget should be in line with FAPESP funding rules of the chosen scheme. FAPESP applicants do not need to request equal amounts from both sides. The difference in values should reflect the difference in costs covered and local prices.
Before submitting an ESRC-FAPESP Lead Agency Agreement proposal, all applicants should consult the Je-S guidance (PDF, 191Kb).
Applicants are also strongly advised to consult the Operation of the
UKRI-FAPESP Lead Agency Agreement Guidance Note (UKRI website)

Proposal Form and Attachments

The title field of the proposal must begin with the words 'ESRC-FAPESP'. 
The 5,000 word proposal document described in the International Common Application Process (ICAP) criteria should be included as the 'Case for Support' in the Je-S application. This 5,000 word limit exceeds the normal six page limit for a Case for Support. A word count should be included at the end of this document. This is the only part of the ICAP process which is followed.
To enable the identification of research team members in different national application formats, the 5,000 word research proposal document should begin by listing the names, roles (principal investigator, co-investigator, etc), and institutions of all named researchers from both participating countries who are included in the proposal. This list of names is not included in the word count of the proposal.
CVs of all named researchers in the proposal should be included, both UK and overseas. These should not exceed the normal ESRC limit of two pages per CV.
For State of São Paulo-based researchers, the FAPESP letter of eligibility should be submitted to FAPESP (SAGe) and also provided to the UK PI to upload to Je-S as part of their application. State of São Paulo-based researchers should also complete the FAPESP Proposal Form (which includes the FAPESP consolidated budget) and submit this via SAGe. The FAPESP full proposal form should then be saved as a PDF and attached to the UK PI’s Je-S submission. This should be exactly the same version as submitted via SAGe.
All other relevant sections of the Je-S application (Objectives, Summary, Beneficiaries, etc) should be completed in accordance with the normal guidelines for standard research grants unless specified in the Je-S guidance (PDF, 191Kb).
 

","
UKRI-FAPESP bilateral agreement


",https://esrc.ukri.org/funding/funding-opportunities/ukri-fapesp-bilateral-agreement/,
"
ESRC intends to fund new research projects as part of the UK Research and Innovation response to the current COVID-19 pandemic. Proposals are invited for short to medium-term economic and social research activity aimed at addressing and mitigating the impacts of the COVID-19 outbreak.
Proposals can be received under this call at any time and will be assessed on a rolling basis.  The call now includes a highlight notice focussed on COVID-19 and minority ethnic groups.  Full details on how to apply can be found at:
https://www.ukri.org/funding/funding-opportunities/ukri-open-call-for-research-and-innovation-ideas-to-address-covid-19/
Proposals will be accepted from anyone who is normally eligible to apply for ESRC funding. Proposals that are primarily social science will need to comply with ESRC funding guidelines, except where the call details at the link above state an exception to these. Awards will be subject to the standard terms and conditions for ESRC funding, please see our Research Funding Guide for further information.
Proposals must be novel and not duplicative of existing research activity. See social science projects that have already been funded through the call.
The role of the economic and social sciences
The impact of COVID-19 is vast and varied, complex and evolving. From major disruptions to the global economy through to the dislocation of normal personal relationships, no country, business, community, family or individual has escaped its impacts. In addition to the direct health impacts of the virus, the economic, social, demographic, environmental, psychological, behavioural, political and institutional responses to, and consequences of, the pandemic have been, and will continue to be, profound. The social sciences, individually or working with other disciplines, have a key role to play in understanding, addressing and mitigating the unfolding impacts of the pandemic.
The need for new research
ESRC is looking to fund new research projects and related data collection of up to 18 months duration which will extend the evidence base and make a significant contribution to the understanding of, and response to, COVID-19 and its impacts. These projects will address fundamental gaps in our knowledge and provide practical evidence that could be of use in considering ways of responding to or mitigating the pandemic and its impacts, with a strong emphasis on producing findings that can be used during the research as well as on its completion.
The focus of this call is set very much in the context of the national response to the COVID-19 outbreak. We do however see value in international comparative research which provides understanding of different responses to and ways of mitigating the impacts of the pandemic. However, the research must be directly relevant to the UK.
We welcome applications on any topics which can provide new and policy-relevant insights into the impacts of the pandemic. Proposals should explain the level of urgency and demonstrate a clear route to impact within the timescale of the project. Longer term projects that don't meet the urgency guidelines should be submitted through normal responsive mode.
Applicants whose proposals have a strong public health or social care focus should consider applying to NIHR where appropriate. Research focused on practical applications and patient benefit, intervention evaluation, health management and health service configuration, and the specific needs of the health and social care sector and workforce usually fall into the remit of the NIHR.
Please ensure you are fully familiar with the details of the UKRI call, as set out here, before applying.
ESRC have commissioned and published a review of research to address the question: What is known about the impacts of social isolation on disadvantaged, marginalised, and vulnerable populations in the context of pandemics and other public health crises? This review identifies gaps in research.  For more information, please see: Impacts of social isolation among disadvantaged and vulnerable groups during public health crises. 
Application outcomes
Our aim is to ensure that, applicants receive feedback on their applications within ten working days of submission however due to unprecedented volumes it may take up to 20 days.
Requests to switch existing ESRC award funding to address Covid-19 research priorities
UKRI has put in place a process to allow researchers to propose repurposing existing ESRC award funding to address COVID-19 research priorities. For further details go to
https://www.ukri.org/funding/funding-opportunities/ukri-open-call-for-research-and-innovation-ideas-to-address-covid-19/
Contact details
For further details contact: ESRCcovidresearch@esrc.ukri.org
","
Research and innovation ideas to address COVID-19


",https://esrc.ukri.org/funding/funding-opportunities/research-and-innovation-ideas-to-address-covid-19/,
"
We are pleased to invite proposals for our New Investigator Grants. New Investigator Grants form one element of our support for early career researchers and the scheme is specifically aimed at supporting those looking to make the transition to an independent researcher through managing their first major research project.
The call is open to high-quality early career researchers from anywhere in the world who have the support of an eligible UK research organisation. Grants ranging from £100,000 to £300,000 full Economic Cost (fEC) can be awarded.
Proposals are welcomed across the full disciplinary range of the social sciences and at the interface with the wider sciences, however the social sciences must represent at least 50 per cent of the research focus and effort.
The call will operate alongside ESRC’s Research Grants open call and you can submit proposals at any time - there are no fixed closing dates. We aim to announce the majority of decisions within 26 weeks of receiving the proposal although we cannot guarantee this, since it is dependent on receiving sufficient good quality peer review comments within the necessary timescale.
We strongly encourage you to read our guidance on how to write a good application for a full understanding of what is required, and the various stages of the application process, to maximise your chances of gaining an award.
Call documents

Call specification (from 1 March 2020) (PDF, 132Kb)
Je-S guidance notes for applicants (from 1 March 2020) (PDF, 250Kb)

Additional documents

Frequently asked questions (PDF, 208Kb)
Research funding guide
New investigators - academic peer review guidance (PDF, 156Kb)
New investigators - non-academic peer review guidance (PDF, 124Kb)

","
New Investigator Grants


",https://esrc.ukri.org/funding/funding-opportunities/new-investigator-grants/,
"
UK Research and Innovation (UKRI) and Fonds National de la Recherche (FNR), Luxembourg, have signed a Statement of Intent (SoI) to encourage and support proposals that involve international collaborative teams.
The UKRI-FNR Statement of Intent underpins a ‘Lead Agency Agreement’ whereby the relevant UK Research Council will receive and assess collaborative proposals from eligible institutions on behalf of both organisations. However, FNR nominated experts will be involved with the peer review and decision making processes throughout.
ESRC accepts applications under the terms of the SoI to our Research Grants scheme.
Proposals to any ESRC scheme which utilises this SoI must also include an FNR Project Plan form, Budget spreadsheet and Justification Form (for costs being requested from FNR), and a Project Plan, as additional Je-S attachments (all available on the FNR website).
Collaborative research proposals may be submitted in any area of the social sciences within the remit of both the ESRC and FNR. There is no deadline, and proposals will be accepted on an ongoing basis until expiry of the SoI on 30 November 2021. Proposals should be drafted and will be assessed according to the criteria set out in the International Common Application Process.
Collaborative research proposals should be submitted only to the ESRC. which will take the lead role in processing and assessing applications, with input from the FNR. A decision on bilateral proposals will be made by ESRC's Research Committee, within its normal standard grants competition. Those proposals approved for funding will be jointly supported by the ESRC and FNR.
Applicants should note the following in preparing their application:

In order to receive support from FNR, the Luxembourg partners must be based at an institution eligible for their support. These are public research centres, the University of Luxembourg and public bodies, departments and establishments in Luxembourg with an authorisation to undertake research in the area of their competence.
Proposals should be submitted via Je-S into the Research Grants (Open Call). The costs being requested from ESRC for the UK part of the project should be a minimum of £350,000, and no more than £1,000,000 (at 100 per cent full Economic Cost). The title field of the proposal must begin with the words 'Bilateral ESRC/FNR’. In completing the Je-S form, applicants should also consult the Je-S guidance (PDF, 230Kb) on submitting an ESRC-FNR bilateral proposal.
Applicants are also strong advised to consult the Operational Guidance of the UKRI-FNR Lead Agency Agreement Guidance Note (UKRI website).
The 5,000 word proposal document described in the International Common Application Process (ICAP) criteria should be included as the 'case for support' in the Je-S application. This 5,000 word limit exceeds the normal six page limit for a case for support. A word count should be included at the end of this document.
All other relevant sections of the Je-S application (Objectives, Summary, Beneficiaries, etc) should also be completed in accordance with the normal guidelines for standard grants.
To enable the identification of all research teams members in different national application formats, the 5,000 word research proposal document should begin by listing the names, roles (principal investigator, co-investigator, etc), and institutions of all named researchers from both participating countries who are included in the proposal. This list of names is not included in the word count of the proposal document.
CVs of all named researchers in the proposal should be included, both UK and overseas. These should not exceed the normal ESRC limit of two pages per CV.
The Luxembourg-based researchers should complete the FNR-UKRI proposal form, the FNR consolidated budget spreadsheet and justification form, all available on the FNR website, which should be included as additional attachments in Je-S.

","
UKRI-FNR bilateral agreement


",https://esrc.ukri.org/funding/funding-opportunities/ukri-fnr-bilateral-agreement/,
"
Knowledge Transfer Partnerships (KTPs) are one of the biggest schemes we fund as part of our commitment to knowledge exchange. The KTP scheme's mission is to strengthen the UK's competitiveness and wealth creation by enabling research organisations to apply their research knowledge to important business problems.
Background and aims
At the heart of each KTP is a relationship between a company/organisation and staff in a knowledge base institution. The institution's staff apply their expertise to a project that will help the development of their collaborative partner. The project is carried out by an associate (a recent graduate or postgraduate), who also benefits from an organised training programme. In the process, the business relevance of the knowledge base institution is enhanced.
Innovate UK have produced a brochure that describes how KTPs can help to innovate and grow your business:

Need some help to innovate and grow your business? (PDF, 1.1Mb)

KTP funding
The KTP scheme is supported by a number of sponsors, the largest of which is Innovate UK, who are responsible for managing the scheme. Other Research Councils are also involved as are the Welsh Government and The Scottish Government. Participating businesses and organisational partners also contribute to each project.
ESRC funding criteria
We will support highly innovative KTP projects to exchange knowledge, skills and/or technology arising from excellent social science. Priority will be given to KTPs with businesses and with civil society organisations, and with public sector organisations where there is a clear demonstration of social science being used in a new way.
You can see the overarching funding criteria for KTPs and the research council criteria on the KTP website:

KTP funding criteria (KTP website)

Dissemination of impacts and outcomes
We actively encourage KTPs to engage with other stakeholders to disseminate results, impacts and outcomes.
KTP blogs
The following blogs are by KTP assosciates receiving ESRC funding.

Developing a chatbot for mental health in the workplace
Using social science data to solve a social housing problem
Using a knowledge transfer partnership (KTP) to transform youth justice

KTP case studies
The following case studies provide examples of the range of ESRC-funded KTP projects and their wider impact.

Risk assessment model reveals high-risk trading
Making ports sustainable
KTP leads to five-fold growth for market research agency
Increasing charity support and impact for mental health
Enabling low cost loans

","
Knowledge Transfer Partnerships


",https://esrc.ukri.org/funding/funding-opportunities/knowledge-transfer-partnerships/,
"
The Secondary Data Analysis Initiative aims to deliver high-quality high-impact research through through utilising existing data resources created by the ESRC and other agencies in order to address some of the most pressing challenges facing society. Proposals are welcome at any time. Funding is provided for up to 24 months with an overall limit of £300,000 (100% fEC) per grant.
The Initiative operates alongside ESRC’s Research Grants open call. Proposals will be considered by a Grants Assessment Panel (GAP) that has been specifically convened to consider SDAI proposals.
Funding will be available for around 12-15 proposals a year, subject to quality. This may increase with the involvement of other organisations.
Call documents

Call specification from 1 March 2020 (PDF, 185Kb)
Je-S guidance notes from 1 March 2020 (PDF, 222Kb)

Additional documents

Frequently asked questions (PDF, 74Kb)
Equality Impact Assessment - SDAI (PDF, 232Kb)

Peer review guidance
If you have received a request to review a proposal as part of the Secondary Data Analysis Initiative open call please ensure you read the specific peer review guidance below:

Peer review guidance notes (PDF, 119Kb)

Previously funded projects

Information on previously funded projects

","
Secondary Data Analysis Initiative (SDAI) - open call


",https://esrc.ukri.org/funding/funding-opportunities/secondary-data-analysis-initiative-sdai-open-call/,
"
The Urgency Grants scheme aims to provide a rapid response to urgent or unforeseen events.
We launched a pilot phase of Urgency Grants scheme in July 2013. This call closed in December 2014.
We are continuing with the scheme on a strategic basis, and will invite calls for projects in areas which we judge require rapid action.
Future strategic calls will be announced on the ESRC website and through our usual communication channels.
 
","
Urgency Grants


",https://esrc.ukri.org/funding/funding-opportunities/urgency-grants/,
"
The Social, Behavioral and Economic Sciences Directorate (SBE) of the US National Science Foundation (NSF) and UK Research and Innovation (UKRI) are pleased to announce their continued support of international collaboration under the SBE-UKRI Lead Agency Opportunity. The goal of this activity is to promote transatlantic collaborative research by reducing some of the barriers to conducting international research that researchers may encounter. The SBE-UKRI Lead Agency Opportunity allows US and UK researchers to submit a single collaborative proposal that will undergo a single review process.
Remit
Proposals will be accepted for collaborative research in areas at the intersection of NSF/SBE and UKRI’s remits. The primary UK Research Councils participating in this activity are the ESRC, the Arts and Humanities Research Council (AHRC), and the Biotechnology and Biological Sciences Research Council (BBSRC).

Proposers should review the programmes supported through NSF/SBE and through the relevant UK Research Council(s) for further information on what areas of research are eligible for support through this activity. Please see the “Specific guidelines” below for more information.

Collaborative research proposals may be submitted in any disciplinary or interdisciplinary area which falls within the remit of the AHRC, BBSRC and/or ESRC, and NSF/SBE. Please see the SBE website for more details on which SBE programs are eligible.
Budget
Proposals are expected to adhere to the proposal sizes and durations for the relevant UK Research Council(s) and SBE programme(s) from which funding is sought. Please see the “Specific guidelines” or the Je-S Guidance below for more information on funding levels available.
How to apply
There is a two-stage application process. Stage 1 (Expression of Interest) must be completed prior to Stage 2 (Full Proposal). Please allow ample time (at least three to four weeks) prior to your intended proposal submission target date. Please see the Guidelines below for full details of the submission process and use the Expression of Interest (EOI) template provided below.

This Lead Agency Opportunity is two-way and as such proposals may be submitted to either NSF/SBE (via FastLane) or one of the three participating Research Councils (via Je-S, depending on the remit of the proposed research).

The lead agency should be decided on the basis of where the largest proportion of research lies (financially). Where the ESRC is the lead agency, applicants are required to submit proposals via Je-S in accordance with the requirements outlined in the ESRC Research Funding Guide and according to the Je-S guidance found below.
Further information
Should you wish to submit a collaborative proposal to the NSF, please see the NSF website.

For further information on the agreement and guidance on submitting a proposal to the ESRC:

SBE-UKRI Lead Agency Management Plan  (PDF, 204Kb)
UKRI-NSF Memorandum of Understanding
Guidelines for submitting collaborative proposals to the US NSF-SBE – UKRI Lead Agency Opportunity (PDF, 81Kb)
SBE-UKRI Expression of Interest template (PDF, 952Kb)
SBE-UKRI Lead Agency Opportunity Je-S Guidance (ESRC-specific) (PDF, 210Kb)
NSF budget form (Word, 179Kb)
Guidance on completing the ESRC Resources Summary (PDF, 59Kb) (for use with proposals to NSF only)
ESRC Resources Summary (for use with proposals to NSF only) (Word, 140Kb)

Contact
For questions not answered in the above information, and to submit Expression of Interests, please email sbeleadagency@ukri.org.
 
 
","
UKRI-SBE lead agency opportunity


",https://esrc.ukri.org/funding/funding-opportunities/ukri-sbe-lead-agency-opportunity/,
